enterpriseId,source,medicalRecordNumber,firstName,lastName,socialSecurityNumber,addressLine1,addressLine2,city,state,zipCode
e1,hospital,m1,Navya1,Kodali1,895-01-7485,1 Bay area blvd,apt 1,houston ,tx,74884
e2,lab,m2,Navya2,Kodali2,895-02-7485,2 Bay area blvd,apt 2,houston ,tx,74884
e3,hospital,m3,Navya3,Kodali3,895-03-7485,3 Bay area blvd,apt 3,houston ,tx,74884
e1,PMG,m4,Navya1,Kodali1,895-01-7485,1 Bay area blvd,apt 1,houston ,tx,74884
e5,EHL,m5,Navya5,Kodali5,895-05-7485, 5 Bay area blvd,apt 5,houston ,tx,74884
e6,hospital,m6,Navya6,Kodali6,895-06-7485,6 Bay area blvd,apt 6,houston ,tx,74884
e7,hospital,m7,Navya7,Kodali7,895-07-7485,7 Bay area blvd,apt 7,houston ,tx,74884
e8,lab,m8,Navya8,Kodali8,895-08-7485,8 Bay area blvd,apt 8,houston ,tx,74884
e9,hospital,m9,Navya9,Kodali9,895-09-7485,9 Bay area blvd,apt 9,houston ,tx,74884
e10,EHL,m10,Navya10,Kodali10,895-10-7485,10 Bay area blvd,apt 10,houston ,tx,74884
